,task,step,participant_id,created_at,acceptable,reasoning,take,fpv_filepath,fpv_circle_filepath,fpv_attention_filepath,tpv_filepath,instructions,question,correct_answer,gemini_answer,gemini_acceptable,ablation_setting,qa_id
243,Geradeausstich,Vorbereitung,0,2024-06-17T21:35:23.313996+00:00,,"['KNOWLEDGE', 'SPATIAL']",0,fpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,tpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,"- Den Nähfuß mithilfe des Nähfußhebels anheben.
    - Bei angehobenem Nähfuß den rechten Rand des Probe-Stoffstücks für eine Nahtzugabe von 7,5 mm an der rechten Seite des Nähfußes ausrichten.
    - Den Nahtbeginn unter der Nadel platzieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.",Welcher Rand ergibt sich bei einer Ausrichtung des Probestückes für den Geradeausstich an der Rechten Seite des Nähfußes?,"Eine Breite von 7,5mm","Um einen Saum mit der Nähmaschine zu nähen, wird der Stoff nicht an der rechten Seite des Nähfußes ausgerichtet. 
",0,naive baseline,131
244,Elastische Stoffe (Richtig),Vorbereitung (1),0,2024-06-17T21:45:02.879831+00:00,,"['KNOWLEDGE', 'SPATIAL']",1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (1)-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (1)-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (1)-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (1)-take-1.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Den Startpunkt der Naht unter der Nadel positionieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.

",Wie wird die Nadel erstmalig in den Stoff eingetaucht?,Mittels drehens des Handrades zum Nutzer hin / in Gegenuhrzeigersinn.,"Um die Nadel erstmalig in den Stoff einzutauchen wird das Handrad zu sich herangedreht, bis die Nadel ihren tiefsten Punkt erreicht und wieder aufsteigt. 
",1,naive baseline,136
245,Elastische Stoffe (Richtig),Vorbereitung (1),0,2024-06-17T21:45:02.879831+00:00,,"['KNOWLEDGE', 'SPATIAL']",1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (1)-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (1)-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (1)-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (1)-take-1.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Den Startpunkt der Naht unter der Nadel positionieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.

",Wie wird die Nadel erstmalig in den Stoff eingetaucht?,Mittels drehens des Handrades zum Nutzer hin / in Gegenuhrzeigersinn.,"Um die Nadel erstmalig in den Stoff einzutauchen, senkt man die Nadel mit dem Handrad bis sie den Stoff durchsticht. 
",1,naive baseline,136
246,Elastische Stoffe (Richtig),Vorbereitung (1),0,2024-06-17T21:45:02.879831+00:00,,"['KNOWLEDGE', 'SPATIAL']",1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (1)-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (1)-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (1)-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (1)-take-1.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Den Startpunkt der Naht unter der Nadel positionieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.

",Wie wird die Nadel erstmalig in den Stoff eingetaucht?,Mittels drehens des Handrades zum Nutzer hin / in Gegenuhrzeigersinn.,"Um die Nadel erstmalig in den Stoff einzutauchen, wird das Handrad in deine Richtung gedreht, bis die Nadel ihren tiefsten Punkt erreicht und wieder aufsteigt. 
",1,naive baseline,136
247,Einfädeln Unterspule,Entfernung der Spulenabdeckung,0,2024-06-17T21:50:35.459863+00:00,,"['FACTUAL', 'SPATIAL']",0,fpv_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,fpv_circle_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,fpv_attention_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,tpv_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,"
    - Nähfuß mithilfe des Nähfußhebels anheben.
    - Spulenabdeckung mithilfe des entsprechenden Hebels entriegeln.
    - Die Spulenabdeckung öffnen, um Zugang zum Spulenkorb zu erhalten.

",Wo befindet sich die Unterspule?,Im Anschiebetisch unterhalb des Nähfußes.,"Um die Unterspule zu finden, öffnen Sie die Klappe unterhalb der Stichplatte. 
",1,naive baseline,138
248,Einfädeln Unterspule,Entfernung der Spulenabdeckung,0,2024-06-17T21:50:35.459863+00:00,,"['FACTUAL', 'SPATIAL']",0,fpv_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,fpv_circle_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,fpv_attention_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,tpv_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,"
    - Nähfuß mithilfe des Nähfußhebels anheben.
    - Spulenabdeckung mithilfe des entsprechenden Hebels entriegeln.
    - Die Spulenabdeckung öffnen, um Zugang zum Spulenkorb zu erhalten.

",Wo befindet sich die Unterspule?,Im Anschiebetisch unterhalb des Nähfußes.,"Die Unterspule befindet sich im Spulenkapselgehäuse unter der Stichplatte. 
",1,naive baseline,138
249,Einfädeln Unterspule,Entfernung der Spulenabdeckung,0,2024-06-17T21:50:35.459863+00:00,,"['FACTUAL', 'SPATIAL']",0,fpv_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,fpv_circle_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,fpv_attention_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,tpv_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,"
    - Nähfuß mithilfe des Nähfußhebels anheben.
    - Spulenabdeckung mithilfe des entsprechenden Hebels entriegeln.
    - Die Spulenabdeckung öffnen, um Zugang zum Spulenkorb zu erhalten.

",Wo befindet sich die Unterspule?,Im Anschiebetisch unterhalb des Nähfußes.,"Um die Unterspule einzusetzen, öffne die Klappe am Gehäuseboden unterhalb der Nadel. 
",1,naive baseline,138
250,Einfädeln Unterspule,Entfernung der Spulenabdeckung,0,2024-06-17T21:52:14.293643+00:00,,"['KNOWLEDGE', 'SPATIAL']",0,fpv_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,fpv_circle_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,fpv_attention_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,tpv_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,"
    - Nähfuß mithilfe des Nähfußhebels anheben.
    - Spulenabdeckung mithilfe des entsprechenden Hebels entriegeln.
    - Die Spulenabdeckung öffnen, um Zugang zum Spulenkorb zu erhalten.

",Wo muss ich die Unterspule einlegen?,"In den Spulenkorb, der sich unter der Spulenabdeckung befindet.","Um die Unterspule einzulegen, öffnen Sie die Klappe des Spulenfachs unterhalb der Stichplatte. 
",1,naive baseline,140
251,Einfädeln Unterspule,Entfernung der Spulenabdeckung,0,2024-06-17T21:52:14.293643+00:00,,"['KNOWLEDGE', 'SPATIAL']",0,fpv_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,fpv_circle_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,fpv_attention_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,tpv_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,"
    - Nähfuß mithilfe des Nähfußhebels anheben.
    - Spulenabdeckung mithilfe des entsprechenden Hebels entriegeln.
    - Die Spulenabdeckung öffnen, um Zugang zum Spulenkorb zu erhalten.

",Wo muss ich die Unterspule einlegen?,"In den Spulenkorb, der sich unter der Spulenabdeckung befindet.","Um die Unterspule einzulegen, öffnen Sie die Klappe des Spulenfachs unterhalb der Stichplatte. 
",1,naive baseline,140
252,Einfädeln Unterspule,Entfernung der Spulenabdeckung,0,2024-06-17T21:52:14.293643+00:00,,"['KNOWLEDGE', 'SPATIAL']",0,fpv_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,fpv_circle_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,fpv_attention_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,tpv_out/participant-0-Einfaedeln Unterspule-Entfernung der Spulenabdeckung-take-0.mp4,"
    - Nähfuß mithilfe des Nähfußhebels anheben.
    - Spulenabdeckung mithilfe des entsprechenden Hebels entriegeln.
    - Die Spulenabdeckung öffnen, um Zugang zum Spulenkorb zu erhalten.

",Wo muss ich die Unterspule einlegen?,"In den Spulenkorb, der sich unter der Spulenabdeckung befindet.","Um die Unterspule einzulegen, öffnen Sie die Klappe des Spulenfachs unterhalb der Stichplatte. 
",1,naive baseline,140
253,Elastische Stoffe (Richtig),Vorbereitung (2),0,2024-06-17T22:03:00.324792+00:00,,"['KNOWLEDGE', 'SPATIAL']",1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,"- Den Nähfuß mit dem Nähfußhebel anheben.
    - Die bereits genähte Naht etwa 1 cm vor dem Nahtende unter der Nadel positionieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.",In welche Richtung muss das Handrad gedreht werden um die Nadel manuell in den Stoff einzustechen?,Das Handrad muss in Nutzerrichtung gedreht werden.,"Um die Nadel manuell in den Stoff einzustechen, wird das Handrad zu sich herangedreht. 
",1,naive baseline,141
254,Elastische Stoffe (Richtig),Vorbereitung (2),0,2024-06-17T22:03:00.324792+00:00,,"['KNOWLEDGE', 'SPATIAL']",1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,"- Den Nähfuß mit dem Nähfußhebel anheben.
    - Die bereits genähte Naht etwa 1 cm vor dem Nahtende unter der Nadel positionieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.",In welche Richtung muss das Handrad gedreht werden um die Nadel manuell in den Stoff einzustechen?,Das Handrad muss in Nutzerrichtung gedreht werden.,"Um die Nadel manuell in den Stoff einzustechen, muss das Handrad zu dir hin gedreht werden. 
",1,naive baseline,141
255,Elastische Stoffe (Richtig),Vorbereitung (2),0,2024-06-17T22:03:00.324792+00:00,,"['KNOWLEDGE', 'SPATIAL']",1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,"- Den Nähfuß mit dem Nähfußhebel anheben.
    - Die bereits genähte Naht etwa 1 cm vor dem Nahtende unter der Nadel positionieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.",In welche Richtung muss das Handrad gedreht werden um die Nadel manuell in den Stoff einzustechen?,Das Handrad muss in Nutzerrichtung gedreht werden.,"Um die Nadel manuell in den Stoff einzustechen, wird das Handrad zu sich herangedreht. 
",1,naive baseline,141
256,Elastische Stoffe (Richtig),Vorbereitung (2),0,2024-06-17T22:04:38.234061+00:00,,"['KNOWLEDGE', 'SPATIAL']",1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,"- Den Nähfuß mit dem Nähfußhebel anheben.
    - Die bereits genähte Naht etwa 1 cm vor dem Nahtende unter der Nadel positionieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.",Mit welchem abstand muss die bereits genähte Naht vor dem Nahtende unter der Nadel positioniert werden?,Mit 1 cm abstand.,"Um die bereits genähte Naht zu sichern, wird diese ca. 10 cm vor dem Nahtende unter der Nadel positioniert.",0,naive baseline,143
257,Elastische Stoffe (Richtig),Vorbereitung (2),0,2024-06-17T22:04:38.234061+00:00,,"['KNOWLEDGE', 'SPATIAL']",1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,"- Den Nähfuß mit dem Nähfußhebel anheben.
    - Die bereits genähte Naht etwa 1 cm vor dem Nahtende unter der Nadel positionieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.",Mit welchem abstand muss die bereits genähte Naht vor dem Nahtende unter der Nadel positioniert werden?,Mit 1 cm abstand.,"Um die Naht zu sichern, wird das Nähgut um einige Stiche zurückgeführt. Positioniere die Naht etwa 5-7mm vor dem Nahtende unter der Nadel.",0,naive baseline,143
258,Elastische Stoffe (Richtig),Vorbereitung (2),0,2024-06-17T22:04:38.234061+00:00,,"['KNOWLEDGE', 'SPATIAL']",1,fpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,fpv_circle_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,fpv_attention_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,tpv_out/participant-0-Elastische Stoffe (Richtig)-Vorbereitung (2)-take-1.mp4,"- Den Nähfuß mit dem Nähfußhebel anheben.
    - Die bereits genähte Naht etwa 1 cm vor dem Nahtende unter der Nadel positionieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.",Mit welchem abstand muss die bereits genähte Naht vor dem Nahtende unter der Nadel positioniert werden?,Mit 1 cm abstand.,"Um die bereits genähte Naht abzunähen, wird diese ca. 10 cm vor dem Nahtende unter der Nadel positioniert.",0,naive baseline,143
259,Geradeausstich,Abschluss,0,2024-06-17T22:07:43.629079+00:00,,['SPATIAL'],0,fpv_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,tpv_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Das Stoffstück zur linken Seite wegziehen.
    - Sollte der Stoff spannen, das Handrad drehen, um die Spannung zu lösen und das Wegziehen des Stoffstücks zu erleichtern.
    - Die Fäden mit dem integrierten Fadenschneider der Maschine abschneiden.

",In welche Richtung ziehe ich den stoff weg?,Zur linken seite.,"Stoff wird beim Nähen **nicht** weggezogen, sondern in Richtung des Transporteurs geführt. 
",0,naive baseline,146
260,Geradeausstich,Abschluss,0,2024-06-17T22:07:43.629079+00:00,,['SPATIAL'],0,fpv_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,tpv_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Das Stoffstück zur linken Seite wegziehen.
    - Sollte der Stoff spannen, das Handrad drehen, um die Spannung zu lösen und das Wegziehen des Stoffstücks zu erleichtern.
    - Die Fäden mit dem integrierten Fadenschneider der Maschine abschneiden.

",In welche Richtung ziehe ich den stoff weg?,Zur linken seite.,"Stoff wird beim Nähen grundsätzlich **nach hinten**, also von dir weg, gezogen. 
",0,naive baseline,146
261,Geradeausstich,Abschluss,0,2024-06-17T22:07:43.629079+00:00,,['SPATIAL'],0,fpv_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,tpv_out/participant-0-Geradeausstich-Abschluss-take-0.mp4,"
    - Den Nähfuß mit dem Nähfußhebel anheben.
    - Das Stoffstück zur linken Seite wegziehen.
    - Sollte der Stoff spannen, das Handrad drehen, um die Spannung zu lösen und das Wegziehen des Stoffstücks zu erleichtern.
    - Die Fäden mit dem integrierten Fadenschneider der Maschine abschneiden.

",In welche Richtung ziehe ich den stoff weg?,Zur linken seite.,"Stoff wird beim Nähen grundsätzlich **von der Nadel weg** gezogen. 
",0,naive baseline,146
262,Geradeausstich,Vorbereitung,0,2024-06-17T22:09:35.218073+00:00,,['SPATIAL'],0,fpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,tpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,"- Den Nähfuß mithilfe des Nähfußhebels anheben.
    - Bei angehobenem Nähfuß den rechten Rand des Probe-Stoffstücks für eine Nahtzugabe von 7,5 mm an der rechten Seite des Nähfußes ausrichten.
    - Den Nahtbeginn unter der Nadel platzieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.",An welcher Seite des Nähfußes muss ich meinen Stoff ausrichten?,Der rechten Seite,"Um den Stoff korrekt auszurichten, legst du ihn unter den Nähfuß, sodass die Stoffkante an der rechten Seite des Nähfußes entlangläuft. 
",1,naive baseline,147
263,Geradeausstich,Vorbereitung,0,2024-06-17T22:09:35.218073+00:00,,['SPATIAL'],0,fpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_circle_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,fpv_attention_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,tpv_out/participant-0-Geradeausstich-Vorbereitung-take-0.mp4,"- Den Nähfuß mithilfe des Nähfußhebels anheben.
    - Bei angehobenem Nähfuß den rechten Rand des Probe-Stoffstücks für eine Nahtzugabe von 7,5 mm an der rechten Seite des Nähfußes ausrichten.
    - Den Nahtbeginn unter der Nadel platzieren.
    - Den Nähfuß mithilfe des Nähfußhebels absenken.
    - Das Handrad in Nutzerrichtung drehen, um die Nadel manuell in den Stoff einzustechen.",An welcher Seite des Nähfußes muss ich meinen Stoff ausrichten?,Der rechten Seite,"Um Stoff unter dem Nähfuß auszurichten, lege ihn unter den Nähfuß, sodass die Stoffkante an der rechten Seite des Nähfußes anliegt. 
",1,naive baseline,147
